country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,continent,fossil_consumption,fossil_share,renewable_share,nuclear_share,biofuel_share,hydro_share,solar_share,wind_share,renewables_per_capita,fossil_per_capita
Norway,2022,NOR,5434324.0,40418973696.0,-3.18,-0.144,804.836,4.374,40.483,0.22,0.144,0.83,28.818,-4.648,-0.455,1717.793,9.335,7.361,0.04,0.0,0.0,0.0,0.0,0.026,1.772,140.16,152.68,28.986,-7.444,-42.361,9.692631503016752e-05,0.0,-5.209,-8.213,288.904,1.57,27499.533,149.441,1.028,28.372,-5.431,-2.29,39.873,143.532,0.78,7337.223,7.465,85.338,226059.906,1228.483,0.511,7.57,4.4,-10.945,-42.256,332.697,24799.773,134.77,61221.418,88.27,63.163,-7.894,-34.148,377.287,27806.586,151.11,69426.695,98.972,71.628,-12.52,-8.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.173,-5.468,100.233,138.012,0.75,18444.516,-5.246,-57.274,190365.703,1034.509,0.491,19.029,0.863,0.28,0.06,20.599,0.147,51.524,11.041,158.763,0.183,0.039,0.164,28095.488,526.729,-7.894,-34.148,377.287,27806.586,151.11,69426.695,98.972,71.628,56.496,0.255,0.712,31.283,0.17,131.034,0.111,0.135,25.947,7.849,38.642,2924.007,15.89,7110.647,10.407,7.336,Europe,149.441,0.28371515523162766,0.716282946258892,0.0,0.0083040804664258,0.631628408536458,0.0013517387499074,0.0733622033341623,6.942666649982592e-05,2.749946451481362e-05
Oman,2022,OMN,4576300.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.272,0.0,0.0,213.655,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.09,37.09,8.931,5.406,21.299,9.075148045364158e-05,0.0,5.026,19.676,8069.838,36.93,89850.023,411.181,99.569,0.0,1.957,5.474,285.143,8069.838,36.93,62308.609,4.621,18.592,91980.031,420.928,99.569,0.0,18.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.963,0.16,0.0,0.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.811,14.202,125.06,0.0,0.0,27327.76,9.873,53.764,130746.141,598.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8104.801,415.306,0.0,0.0,0.0,34.963,0.16,0.0,0.431,0.0,74.749,1.624,3.815,34.963,0.16,833.679,0.431,0.0,0.0,-0.001,0.31,0.0,0.0,67.738,0.0,0.0,Asia,411.181,0.9900675646390854,0.0,0.0,0.0,0.0,0.0091859977943973,0.0007464375665172,0.0,8.985009724012848e-05
Pakistan,2022,PAK,235824864.0,40418973696.0,0.0,0.0,0.0,0.0,7.166,1.69,1.111,0.0,344.155,-11.77,-23.63,751.105,177.129,61.274,14.45,-3.026,-1.618,219.96,51.872,9.496,17.703,152.68,152.17,15.209,-7.681,-83.242,4.242754487499672e-06,0.0,-10.364,-96.673,365.059,86.09,3545.554,836.13,56.575,83.567,-14.493,-65.061,383.859,227.627,53.68,1627.729,-12.19,-39.816,1216.193,286.809,35.276,38.365,52.37,-6.883,-7.112,91.36,154.394,36.41,387.406,23.927,9.131,9.595,13.431,164.417,280.208,66.08,697.199,43.425,16.433,0.51,0.334,41.975,16.338,55.746,95.113,22.43,236.389,14.74,5.572,-2.819,-7.982,275.142,76.158,17.96,1166.72,0.0,0.0,0.0,0.0,11.803,27.499,2.863,1.69,0.0,27.436,0.616,7.166,0.0,12.142,1.111,0.0,0.286,645.267,1000.547,-2.366,-2.907,108.67,185.095,43.65,460.81,28.685,10.861,24.071,0.443,2.321,6.064,1.43,9.842,0.94,0.232,35.511,3.145,12.126,17.471,4.12,51.421,2.707,1.212,Asia,836.1299999999999,0.8356728869308487,0.10861059000726603,0.0557155236085861,0.0,0.0913100534007897,0.0023197311070844,0.0121193707042247,4.6080806814331516e-07,3.545554891107665e-06
Peru,2022,PER,34049588.0,40418973696.0,2.191,0.109,149.102,5.077,20.265,0.69,1.145,1.516,256.512,36.068,2.157,238.984,8.137,16.153,0.55,0.0,0.0,0.0,0.0,0.913,2.43,60.31,60.27,17.997,5.532,17.554,9.835478772900276e-06,0.0,10.566,23.165,795.017,27.07,7119.578,242.419,44.915,72.387,19.917,15.979,96.207,627.32,21.36,2825.502,20.49,23.529,4063.463,138.359,35.441,28.728,15.46,-6.845,-6.002,77.537,872.257,29.7,2277.18,49.278,23.153,-4.844,-5.611,92.475,975.049,33.2,2715.896,55.085,27.613,0.04,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,5.029,138.074,151.544,5.16,4055.092,1.56,0.963,1840.272,62.661,8.561,41.229,2.471,0.69,0.0,-1.29,-0.032,20.265,0.0,72.556,1.145,0.0,0.738,1770.066,334.894,-4.844,-5.611,92.475,975.049,33.2,2715.896,55.085,27.613,2.464,0.048,2.355,24.964,0.85,69.178,1.41,0.703,5.967,0.266,5.035,57.563,1.96,147.879,3.252,1.504,South America,242.418,0.7238648647034585,0.2761321492770847,0.0,0.0151600207826954,0.2315269906298709,0.007032075821006,0.0150346079655055,2.715891892730097e-06,7.119557511239196e-06
Philippines,2022,PHL,115559008.0,40418973696.0,18.934,1.099,59.718,6.901,19.557,2.26,2.005,1.179,582.047,5.942,13.071,2016.58,233.034,451.804,52.21,0.0,0.0,0.0,0.0,46.31,39.8,112.74,112.74,19.255,7.294,39.805,5.066788043040314e-06,0.0,7.313,34.906,755.285,87.28,4432.838,512.254,77.417,87.488,-3.983,-1.278,30.804,123.833,14.31,266.563,0.0,0.0,0.0,0.0,12.693,5.261,65.62,8.437,1.968,26.442,75.892,8.77,228.817,7.779,4.516,9.024,4.899,73.258,220.32,25.46,633.947,22.583,12.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.259,23.113,248.417,179.648,20.76,2149.695,0.0,0.0,0.0,0.0,18.414,42.427,32.341,13.93,11.67,6.645,1.803,120.544,100.987,279.869,12.356,10.351,5.524,975.605,585.513,9.024,4.899,73.258,220.32,25.46,633.947,22.583,12.512,21.195,0.822,4.783,15.663,1.81,41.392,1.605,0.817,-21.836,-0.793,2.791,8.221,0.95,24.151,0.843,0.477,Asia,512.255,0.8748823681113826,0.12511763188861733,0.0,0.0117862455658542,0.0451603978050017,0.0081689048748704,0.0047667600890159,6.339445212267658e-07,4.432843521813548e-06
Poland,2022,POL,39857144.0,40418973696.0,2.331,0.283,311.539,12.417,194.695,7.76,4.328,1.036,634.579,-5.239,-27.72,12580.693,501.431,3113.62,124.1,-3.188,-15.589,11876.443,473.361,69.214,41.844,177.62,179.3,14.963,-2.249,-27.567,3.006542566120643e-05,0.0,-3.816,-43.091,3551.936,141.57,27248.246,1086.037,78.957,90.63,-19.861,-44.437,179.302,316.38,12.61,4498.604,3.01,1.169,1003.882,40.012,7.033,14.963,113.78,-15.868,-0.99,5.131,51.685,2.06,128.731,1.149,0.428,15.022,15.524,112.284,946.631,37.73,2817.173,21.043,9.37,-1.68,-0.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.725,29.066,405.305,121.935,4.86,10168.948,0.0,0.0,0.0,0.0,2.711,33.823,22.837,7.76,0.0,-11.251,-2.895,194.695,0.0,572.972,4.328,0.0,1.906,4498.566,1198.322,15.022,15.524,112.284,946.631,37.73,2817.173,21.043,9.37,106.789,10.916,21.212,204.48,8.15,532.192,4.545,1.77,19.764,8.21,50.688,495.771,19.76,1271.74,11.021,4.23,Europe,1086.038,0.9062989747330017,0.09370102526699836,0.0,0.0103619895153389,0.0042818207460098,0.0177014191511129,0.0422991483090521,2.8171612095437648e-06,2.724826445166267e-05
Portugal,2022,PRT,10270857.0,40418973696.0,-18.512,-0.727,311.524,3.2,387.504,3.98,8.475,1.241,234.029,-95.398,-2.17,10.191,0.105,5.842,0.06,0.0,0.0,0.0,0.0,0.128,0.041,56.21,46.96,18.22,-3.234,-8.613,2.5094400593835543e-05,0.0,3.088,5.485,1837.237,18.87,17825.18,183.08,40.183,71.033,-3.517,-2.044,56.066,1690.219,17.36,5458.728,0.0,0.0,0.0,0.0,36.968,21.753,10.99,-45.382,-14.202,16.956,738.984,7.59,1650.891,16.163,6.579,-15.911,-14.098,74.661,2734.923,28.09,7269.217,59.817,28.967,9.25,16.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.275,9.699,126.909,141.176,1.45,12356.262,0.0,0.0,0.0,0.0,3.088,49.239,11.715,4.16,0.18,-11.304,-1.524,405.029,17.525,1140.636,8.859,0.383,4.545,4572.16,257.741,-15.911,-14.098,74.661,2734.923,28.09,7269.217,59.817,28.967,37.596,2.171,8.025,298.904,3.07,781.375,6.537,3.114,0.899,0.184,34.765,1292.005,13.27,3384.79,28.258,13.488,Europe,183.08,0.7103254817820992,0.2896745182179009,0.0,0.0124155644619986,0.0657869721930154,0.031135907752356,0.1348834682879324,7.269208401986319e-06,1.782519219184923e-05
Qatar,2022,QAT,2695131.0,40418973696.0,0.0,0.0,0.0,0.0,7.421,0.02,0.044,0.0,489.76,302.041,0.086,42.661,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,45.9,8.769,-2.357,-12.634,0.0001942217279976,0.0,-2.555,-13.683,17019.58,45.87,193665.312,521.953,99.935,0.0,-8.294,-33.187,366.962,17019.58,45.87,136157.25,0.808,14.307,661975.438,1784.111,99.935,0.0,22.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.131,0.03,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.334,19.417,154.877,0.0,0.0,57465.402,1.734,14.687,319685.781,861.595,0.0,0.0,0.428,0.02,0.0,0.0,0.0,7.421,0.0,158.739,0.044,0.0,0.0,17030.713,523.453,0.0,0.0,0.0,11.131,0.03,0.0,0.065,0.0,4826.887,1.05,1.071,3.71,0.01,397.541,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,521.954,0.9971363236049845,0.0,0.0,0.0,0.0,0.0020460289653512,0.0,0.0,0.0001936655398197
Romania,2022,ROU,19659270.0,40418973696.0,-6.572,-0.305,220.723,4.339,32.555,0.64,1.137,1.203,264.121,-2.74,-1.291,2331.516,45.836,531.047,10.44,2.407,0.842,1822.08,35.821,18.544,12.708,57.52,56.3,15.609,-6.862,-26.575,1.834686638924029e-05,0.0,-6.08,-17.327,1082.95,21.29,13614.338,267.648,37.815,74.205,-15.556,-17.997,97.693,505.614,9.94,4969.307,2.255,1.947,4491.74,88.304,17.655,27.085,14.87,-20.595,-9.515,36.046,723.832,14.23,1833.541,25.275,9.994,-8.53,-9.249,93.038,1780.839,35.01,4732.531,62.185,25.795,1.22,2.121,-1.728,-0.591,27.742,573.775,11.28,1411.162,20.036,7.692,1.606,1.961,124.119,46.289,0.91,6313.515,-6.02,-2.326,1846.908,36.309,1.616,34.412,2.025,0.64,0.0,-2.828,-0.059,32.555,0.0,103.002,1.137,0.0,0.561,2863.789,360.686,-11.006,-8.658,65.296,1207.064,23.73,3321.369,42.149,18.103,4.052,0.164,4.62,91.051,1.79,234.996,3.179,1.281,6.539,1.058,18.266,359.627,7.07,929.108,12.558,5.064,Europe,267.648,0.7420526441281338,0.18103280970151325,0.0769145461703531,0.012029854222232,0.0999373416212439,0.0128089252147297,0.0506423870069811,3.321384771662427e-06,1.361434071560134e-05
Russia,2022,RUS,144713312.0,40418973696.0,37.167,0.985,25.131,3.637,3.386,0.49,0.044,0.045,367.189,-6.759,-64.327,6131.82,887.356,1358.755,196.63,1.145,29.412,17952.029,2597.898,17.636,11.056,1101.8,1114.93,13.892,-8.23,-719.773,5.545942449302798e-05,0.0,-8.944,-680.416,4725.135,683.79,47870.559,6927.507,61.33,86.316,-14.026,-665.688,4080.453,3310.131,479.02,28196.805,-11.928,-837.487,42730.566,6183.682,42.964,50.842,409.39,-7.862,-46.021,515.343,1351.085,195.52,3561.133,17.537,6.421,-2.886,-39.357,1098.211,2979.27,431.14,7588.871,38.67,13.684,-13.13,-1.192,0.588,1.235,559.65,1564.68,226.43,3867.301,20.309,6.973,2.597,49.599,1959.698,56.249,8.14,13541.931,1.807,113.198,44081.996,6379.251,0.73,24.418,2.374,0.93,0.44,2.653,0.05,6.426,3.04,16.406,0.083,0.039,0.03,7704.405,8025.717,-6.351,-40.592,538.561,1414.59,204.71,3721.569,18.361,6.71,3.746,0.204,6.254,18.243,2.64,43.214,0.237,0.078,62.526,4.189,10.953,38.835,5.62,75.686,0.504,0.136,Europe,6927.507,0.8631636276235506,0.06710440948765077,0.069732087488258,0.0004531682340655,0.0642114592378475,0.0007792450194792,0.0013647378794941,3.721571931129598e-06,4.787055803131643e-05
Saudi Arabia,2022,SAU,36408824.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.126,1.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.588,12.576,6.888,205.773,8.770728216874019e-05,0.0,6.893,205.779,11006.982,400.751,87647.359,3191.137,99.792,0.0,5.152,58.97,1203.577,7398.452,269.369,33057.297,5.152,58.97,33057.297,1203.577,67.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99,0.837,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.981,146.808,1986.281,3608.53,131.382,54554.93,11.275,675.338,183061.562,6665.056,32.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11029.973,3193.319,0.0,0.0,0.0,22.99,0.837,0.0,0.208,0.0,0.114,-0.005,2.167,22.834,0.831,59.531,0.207,0.0,0.0,0.0,0.015,0.156,0.006,0.407,0.001,0.0,Asia,3191.137,0.9993166983943665,0.0,0.0,0.0,0.0,0.000678604298537,4.697307096472353e-06,0.0,8.764735164200853e-05
Serbia,2022,SRB,7221365.0,40418973696.0,0.0,0.0,0.0,0.0,31.85,0.23,0.636,0.0,569.375,0.0,0.0,0.0,0.0,3283.313,23.71,-3.539,-2.585,9759.859,70.48,65.533,0.0,38.8,36.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3532.573,25.51,0.0,0.0,70.509,0.0,0.0,0.0,0.0,249.26,1.8,0.0,0.0,0.0,0.0,0.0,4.975,0.0,20.6,0.0,0.0,0.0,1204.758,8.7,0.0,24.046,0.0,0.0,0.0,0.0,1477.56,10.67,0.0,29.491,0.0,2.62,6.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,31.85,0.0,0.0,0.636,0.0,0.0,5010.133,0.0,0.0,0.0,0.0,1477.56,10.67,0.0,29.491,0.0,0.0,0.0,0.0,1.385,0.01,0.0,0.028,0.0,0.0,0.0,0.0,239.567,1.73,0.0,4.782,0.0,Europe,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,2022,SGP,5975689.0,40418973696.0,0.0,0.0,0.0,0.0,63.591,0.38,0.694,0.0,488.775,-10.804,-0.583,805.652,4.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.79,54.79,6.234,-3.492,-31.803,0.0001470847964142,0.0,-3.698,-33.56,8947.923,53.47,146257.703,873.991,97.591,0.0,-2.191,-2.925,130.594,8599.846,51.39,21854.154,0.0,0.0,0.0,0.0,93.794,0.0,26.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.895,1.32,0.0,2.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.91,-30.052,738.583,348.077,2.08,123597.898,0.0,0.0,0.0,0.0,3.796,0.0,3.203,0.38,0.0,49.164,1.056,63.591,0.0,536.036,0.694,0.0,0.0,9168.817,878.933,0.0,0.0,0.0,220.895,1.32,0.0,2.409,0.0,68.158,0.701,1.74,157.304,0.94,291.111,1.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,873.991,0.9943772733530315,0.0,0.0,0.0,0.0,0.0019796730808832,0.0,0.0,0.0001462577788101
Slovakia,2022,SVK,5643455.0,40418973696.0,4.595,0.085,344.142,1.942,303.006,1.71,6.397,1.016,140.666,-10.404,-3.403,5192.275,29.302,272.882,1.54,0.0,0.0,0.0,0.0,5.761,15.322,28.12,26.73,13.977,-2.038,-3.98,3.388775138634046e-05,0.0,-2.444,-3.301,845.227,4.77,23349.289,131.771,17.845,68.902,-2.805,-1.485,51.444,388.06,2.19,9115.729,0.0,0.0,0.0,0.0,8.193,26.9,3.76,-16.148,-1.833,9.309,648.539,3.66,1649.45,13.692,4.867,-0.769,-0.678,59.473,3891.233,21.96,10538.399,82.155,31.098,1.39,4.943,1.055,0.271,39.768,2817.423,15.9,7046.819,59.484,20.795,3.208,1.586,51.024,184.284,1.04,9041.286,0.0,0.0,0.0,0.0,3.891,26.68,6.739,1.71,0.0,14.48,0.852,303.006,0.0,1194.084,6.397,0.0,3.524,4736.46,191.244,-4.093,-0.949,19.705,1073.81,6.06,3491.58,22.671,10.303,-2.707,-0.054,1.702,122.266,0.69,301.595,2.581,0.89,0.0,0.0,0.013,0.0,0.0,2.31,0.0,0.007,Europe,131.76999999999998,0.6890150802116667,0.10303591223776955,0.2079437786283491,0.0101545669406621,0.0486760368952751,0.0088996256091694,6.797598878919077e-05,3.4916553777783286e-06,2.334917173965239e-05
Slovenia,2022,SVN,2119843.0,40418973696.0,-26.788,-0.319,411.491,0.872,136.803,0.29,2.185,1.197,237.378,-23.093,-2.491,3913.589,8.296,1514.263,3.21,0.0,0.0,0.0,0.0,24.19,11.38,14.72,13.27,18.202,-4.914,-3.768,3.439122614269075e-05,0.0,1.753,0.819,1768.999,3.75,22428.342,47.545,28.259,65.216,-11.792,-1.062,7.945,221.715,0.47,3747.877,0.0,0.0,0.0,0.0,3.542,10.898,3.15,-33.194,-4.123,8.208,1504.828,3.19,3871.919,24.039,11.258,-15.525,-4.587,25.359,4490.898,9.52,11962.749,71.741,34.784,1.45,9.851,-1.76,-0.304,14.024,2636.988,5.59,6615.506,42.125,19.236,16.235,4.372,31.303,33.021,0.07,14766.875,0.0,0.0,0.0,0.0,0.528,42.938,0.841,0.29,0.0,-6.059,-0.054,136.803,0.0,396.803,2.185,0.0,1.154,6259.898,72.904,-27.348,-4.283,11.335,1853.911,3.93,5347.244,29.616,15.548,18.431,0.213,1.399,207.563,0.44,659.979,3.316,1.919,2.511,0.0,0.015,4.717,0.01,7.051,0.075,0.021,Europe,47.544,0.6521452869527049,0.155478437397125,0.1923625589816745,0.0119609349281246,0.112586415011522,0.0191896192252825,0.0002057500274333,5.347094100836713e-06,2.2428076041480437e-05
South Africa,2022,ZAF,59893884.0,40418973696.0,0.906,0.009,16.265,0.974,6.678,0.4,0.187,0.073,708.989,-5.607,-54.662,15365.821,920.319,3043.549,182.29,-1.679,-25.371,24801.535,1485.46,85.342,68.748,211.51,213.6,15.956,-3.645,-50.647,2.2350896462149625e-05,0.0,-3.721,-48.762,3073.937,184.11,21062.77,1261.531,86.194,94.237,-1.215,-0.561,45.582,0.0,0.0,761.044,0.0,0.0,0.0,0.0,0.0,3.405,151.44,53.617,2.802,8.082,50.423,3.02,134.941,1.414,0.604,-2.247,-1.884,77.151,492.371,29.49,1288.129,13.806,5.763,-2.09,-0.988,-18.252,-5.755,25.268,168.131,10.07,421.882,4.714,1.888,2.234,6.461,295.63,30.387,1.82,4935.904,0.0,0.0,0.0,0.0,0.852,22.084,1.373,0.5,0.1,0.0,0.0,8.348,1.67,22.926,0.234,0.047,0.103,3566.308,1338.682,8.242,3.87,51.883,324.24,19.42,866.247,9.092,3.876,-8.622,-1.59,16.164,103.683,6.21,269.881,2.907,1.207,12.113,2.65,25.289,161.786,9.69,422.234,4.537,1.889,Africa,1261.5310000000002,0.9423679410046599,0.0387567771883091,0.018875281807031,0.0007275813075846,0.0060372814454814,0.0120745628909629,0.0188909688783445,8.662487141424992e-07,2.106276827864428e-05
South Korea,2022,KOR,51815808.0,40418973696.0,24.502,1.701,166.855,8.646,360.508,18.68,3.08,0.245,435.689,-5.332,-44.978,15411.557,798.562,3971.182,205.77,-8.686,-0.429,87.055,4.511,33.927,22.622,606.51,606.51,17.182,1.154,40.275,6.812617879084314e-05,0.0,-1.004,-29.788,7373.426,382.06,56686.57,2937.26,62.993,83.208,-0.768,-4.794,619.28,3288.186,170.38,11951.565,0.0,0.0,0.0,0.0,28.092,17.543,264.25,15.935,1.24,9.233,68.512,3.55,178.18,0.585,0.262,13.521,70.063,592.753,4331.69,224.45,11439.617,37.007,16.792,0.0,0.0,11.416,43.682,440.451,3253.448,168.58,8500.325,27.795,12.477,1.333,19.984,1519.418,114.058,5.91,29323.447,0.0,0.0,0.0,0.0,0.974,43.043,55.351,19.86,1.18,45.715,17.365,383.281,22.773,1068.219,3.274,0.195,1.568,11705.115,3530.013,20.202,26.38,152.302,1078.242,55.87,2939.291,9.212,4.314,9.118,5.64,70.318,561.412,29.09,1357.073,4.796,1.992,5.6,0.434,8.755,65.038,3.37,168.964,0.556,0.248,Asia,2937.26,0.8320819215113373,0.043144883602411664,0.1247731948862511,0.002449282764681,0.002615571104129,0.019920039954527,0.0024801608379345,2.939296054208013e-06,5.668656175350967e-05
South Sudan,2022,SSD,10913172.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.555,-6.604,7404.224,80.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2022,ESP,47558632.0,40418973696.0,-2.471,-0.392,325.491,15.48,143.402,6.82,2.395,0.968,217.373,31.289,11.18,986.387,46.911,160.223,7.62,0.0,0.0,10.383,0.494,2.675,2.934,265.01,284.81,17.815,3.615,55.771,3.361532770749167e-05,0.0,6.046,63.62,2231.771,106.14,23462.137,1115.827,37.267,69.796,-3.576,-12.274,330.969,1829.321,87.0,6959.187,0.0,0.0,0.0,0.0,30.547,20.702,61.91,-38.443,-29.976,47.546,395.302,18.8,999.729,6.601,2.974,-1.272,-7.849,482.872,3756.836,178.67,10153.192,62.733,30.204,-19.8,-7.471,3.595,4.569,146.599,1228.589,58.43,3082.48,20.515,9.17,9.612,64.713,737.947,242.227,11.52,15516.564,0.0,0.0,0.0,0.0,4.045,46.159,21.759,6.82,0.0,-1.084,-0.238,143.402,0.0,457.52,2.395,0.0,1.361,5988.607,1598.699,-3.217,-12.418,336.273,2528.248,120.24,7070.712,42.218,21.034,24.579,17.106,88.013,689.044,32.77,1850.617,11.506,5.505,1.035,1.082,163.476,1300.5,61.85,3437.356,21.716,10.226,Europe,1115.827,0.6979594032397592,0.2103416590615244,0.0916989376987162,0.0096828733864223,0.0297404326893305,0.0550528898810845,0.10225564662266,7.070703799890628e-06,2.3462134066429836e-05
Sri Lanka,2022,LKA,21832150.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.73,-1.828,776.648,16.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.923,17.829,-10.752,-11.435,4.347624947611665e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.709,-0.201,18.577,326.37,7.125,850.891,42.104,0.0,0.888,0.119,22.812,399.775,8.728,1044.88,51.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.991,-9.726,55.15,0.0,0.0,2526.109,0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.097,0.0,0.0,0.0,4.463,0.0,14.248,0.576,0.0,0.0,775.145,94.918,0.888,0.119,22.812,399.775,8.728,1044.88,51.574,0.0,14.417,0.324,2.642,46.422,1.013,121.027,5.989,0.0,0.0,-0.005,1.282,22.521,0.492,58.714,2.905,0.0,Asia,72.106,0.7596662382266798,0.24033376177332014,0.0,0.0,0.1957163024926779,0.0278345519290334,0.0135063949935734,1.0448810584390452e-06,3.302743889172619e-06
